"cnty_fips","display_name","Value","theme_range"
37001,"""Alamance, (NC)""",318.2,"295.2 - 318.5 (20)"
37003,"""Alexander, (NC)""",271.4,"192.5 - 295.1 (20)"
37005,"""Alleghany, (NC)""",307.6,"295.2 - 318.5 (20)"
37007,"""Anson, (NC)""",441.4,"373.5 - 627.7 (20)"
37009,"""Ashe, (NC)""",316.7,"295.2 - 318.5 (20)"
37011,"""Avery, (NC)""",321.9,"318.6 - 350.7 (20)"
37013,"""Beaufort, (NC)""",362.6,"350.8 - 373.4 (20)"
37015,"""Bertie, (NC)""",336.5,"318.6 - 350.7 (20)"
37017,"""Bladen, (NC)""",497.1,"373.5 - 627.7 (20)"
37019,"""Brunswick, (NC)""",310.4,"295.2 - 318.5 (20)"
37021,"""Buncombe, (NC)""",276.3,"192.5 - 295.1 (20)"
37023,"""Burke, (NC)""",358.3,"350.8 - 373.4 (20)"
37025,"""Cabarrus, (NC)""",303.4,"295.2 - 318.5 (20)"
37027,"""Caldwell, (NC)""",363.3,"350.8 - 373.4 (20)"
37029,"""Camden, (NC)""",385.5,"373.5 - 627.7 (20)"
37031,"""Carteret, (NC)""",312.5,"295.2 - 318.5 (20)"
37033,"""Caswell, (NC)""",296.6,"295.2 - 318.5 (20)"
37035,"""Catawba, (NC)""",350.1,"318.6 - 350.7 (20)"
37037,"""Chatham, (NC)""",192.5,"192.5 - 295.1 (20)"
37039,"""Cherokee, (NC)""",409.2,"373.5 - 627.7 (20)"
37041,"""Chowan, (NC)""",350.6,"318.6 - 350.7 (20)"
37043,"""Clay, (NC)""",295.1,"192.5 - 295.1 (20)"
37045,"""Cleveland, (NC)""",410.6,"373.5 - 627.7 (20)"
37047,"""Columbus, (NC)""",627.7,"373.5 - 627.7 (20)"
37049,"""Craven, (NC)""",319.1,"318.6 - 350.7 (20)"
37051,"""Cumberland, (NC)""",369.1,"350.8 - 373.4 (20)"
37053,"""Currituck, (NC)""",394.5,"373.5 - 627.7 (20)"
37055,"""Dare, (NC)""",295.7,"295.2 - 318.5 (20)"
37057,"""Davidson, (NC)""",348.1,"318.6 - 350.7 (20)"
37059,"""Davie, (NC)""",266.7,"192.5 - 295.1 (20)"
37061,"""Duplin, (NC)""",332.4,"318.6 - 350.7 (20)"
37063,"""Durham, (NC)""",253.9,"192.5 - 295.1 (20)"
37065,"""Edgecombe, (NC)""",363.7,"350.8 - 373.4 (20)"
37067,"""Forsyth, (NC)""",280.7,"192.5 - 295.1 (20)"
37069,"""Franklin, (NC)""",322.5,"318.6 - 350.7 (20)"
37071,"""Gaston, (NC)""",365.4,"350.8 - 373.4 (20)"
37073,"""Gates, (NC)""",298.2,"295.2 - 318.5 (20)"
37075,"""Graham, (NC)""",392.8,"373.5 - 627.7 (20)"
37077,"""Granville, (NC)""",289.1,"192.5 - 295.1 (20)"
37079,"""Greene, (NC)""",355.6,"350.8 - 373.4 (20)"
37081,"""Guilford, (NC)""",268.8,"192.5 - 295.1 (20)"
37083,"""Halifax, (NC)""",350.7,"318.6 - 350.7 (20)"
37085,"""Harnett, (NC)""",396.2,"373.5 - 627.7 (20)"
37087,"""Haywood, (NC)""",386.1,"373.5 - 627.7 (20)"
37089,"""Henderson, (NC)""",272.5,"192.5 - 295.1 (20)"
37091,"""Hertford, (NC)""",343.2,"318.6 - 350.7 (20)"
37093,"""Hoke, (NC)""",350,"318.6 - 350.7 (20)"
37095,"""Hyde, (NC)""",371.2,"350.8 - 373.4 (20)"
37097,"""Iredell, (NC)""",308,"295.2 - 318.5 (20)"
37099,"""Jackson, (NC)""",296.3,"295.2 - 318.5 (20)"
37101,"""Johnston, (NC)""",370.1,"350.8 - 373.4 (20)"
37103,"""Jones, (NC)""",384.1,"373.5 - 627.7 (20)"
37105,"""Lee, (NC)""",344.1,"318.6 - 350.7 (20)"
37107,"""Lenoir, (NC)""",394,"373.5 - 627.7 (20)"
37109,"""Lincoln, (NC)""",373,"350.8 - 373.4 (20)"
37111,"""McDowell, (NC)""",340.1,"318.6 - 350.7 (20)"
37113,"""Macon, (NC)""",309.9,"295.2 - 318.5 (20)"
37115,"""Madison, (NC)""",355.3,"350.8 - 373.4 (20)"
37117,"""Martin, (NC)""",414,"373.5 - 627.7 (20)"
37119,"""Mecklenburg, (NC)""",254.3,"192.5 - 295.1 (20)"
37121,"""Mitchell, (NC)""",359.8,"350.8 - 373.4 (20)"
37123,"""Montgomery, (NC)""",322.8,"318.6 - 350.7 (20)"
37125,"""Moore, (NC)""",256.9,"192.5 - 295.1 (20)"
